EmployeePortal,Employee Portal
EmployeePortalInvoiceControl,Invoice Control
EmployeePortalMobileExpenses,Mobile Expenses
EmployeePortalMobilePolicies,Mobile Policies
EmployeePortalAssetManagement,Asset Management
EmployeePortalDeviceOverview,Device Overview
EmployeePortalHardware,Hardware
EmployeePortalServiceTicketing,Service Ticketing
EmployeePortalCreateServiceTicket,Create Service Ticket
EmployeePortalViewServiceOrderInfo,View Service Status
EmployeePortalWebshop,Webshop
EmployeePortalSubscriptions,Subscription
EmployeePortalActivateSIMCard,Activate SIM Card
EmployeePortalSIMCardManagement,SIM Card Management
EmployeePortalSupport,Support
EmployeePortalViewContactInfo,View Contact Info
EmployeePortalViewFAQ,View FAQ
ManagementPortal,Management Portal
ManagementPortalManageUsers,Manage Users
ManagementPortalManageUserGroups,Manage User Groups
ManagementPortalAccessControl,Access Control
ManagementPortalInvoiceControl,Invoice
ManagementPortalMobileExpenses,Mobile Expenses
ManagementPortalMobilePolicies,Mobile Policies
ManagementPortalAssetManagement,Asset Management
ManagementPortalDeviceOverview,Device Overview
ManagementPortalHardware,Hardware
ManagementPortalServiceTicketing,Service Ticketing
ManagementPortalCreateServiceTicket,Create Service Ticket
ManagementPortalViewServiceOrderInfo,View Service Status
ManagementPortalWebshop,Webshop
ManagementPortalSubscriptions,Subscriptions
ManagementPortalChangeOwner,Change Owner
ManagementPortalOrderNewSubscription,Order New Subscription
ManagementPortalSubscriptionManagement,Subscription Management
ManagementPortalActivateSIMCard,Activate SIM Card
ManagementPortalSIMCardManagement,SIM Card Management
ManagementPortalSupport,Support
ManagementPortalViewContactInfo,View Contact Info
ManagementPortalViewFAQ,View FAQ
ManagementPortalOrderExtraSimCard,Order Extra Sim Card
ManagementPortalOrderEmptySimCard,Order Empty Sim Card
ManagementPortalTerminateEmployee,Terminate Employee
EmployeePortalOrderExtraSimCard,Order Extra Sim Card
EmployeePortalOrderEmptySimCard,Order Empty Sim Card
ManagementPortalNews,News
ManagementPortalViewNews,View News
EmployeePortalNews,News
EmployeePortalViewNews,View News
ManagementPortalCreateNews,Create News
EmployeePortalPublishing,Publishing
EmployeePortalCustomerFaq,Customer FAQ
EmployeePortalViewCustomerFaq,View Customer FAQ
EmployeePortalLinks,Links
EmployeePortalViewLinks,View Links
ManagementPortalPublishing,Customer Publishing
ManagementPortalCustomerFaq,Customer FAQ
ManagementPortalViewCustomerFaq,View Customer FAQ
ManagementPortalCreateCustomerFaq,Create Customer FAQ
ManagementPortalLinks,Links
ManagementPortalViewLinks,View Links
ManagementPortalCreateLinks,Create Links
EmployeePortalSubscriptionsViewContactBook,Contact Book
ManagementPortalSubscriptionsViewSubscription,View Subscription
EmployeePortalTelecomLink,Link to Telecom Operator Portal
ManagementPortalTelecomLink,Link to Telecom Operator Portal
EmployeePortalSubscriptionManagement,Subscription Management
EmployeePortalOrderDataPackage,Order Data Package
ManagementPortalOrderDataPackage,Order Data Package
ManagementPortalChangeSubscription,Change Subscription
ManagementPortalSubscriptionManagementApi,Manage Subscription with API
EmployeePortalSubscriptionManagementApi,Manage Subscription with API
ManagementPortalMaaSOverview,MaaS Overview
EmployeePortalSubscriptionsOverview,Subscription Overview
WebshopRoles,Webshop Roles
WebshopRolesOrderPlacer,Orderläggare
WebshopRolesOrderApprover,Ordergodkännare
WebshopRolesLeader,Leder
WebshopRolesEmployee,Ansatt
WebshopRolesEconomy,Økonomi
WebshopRolesOrderApprover1,Ordregodkjenner 1
WebshopRolesOrderApprover2,Ordregodkjenner 2
WebshopRolesPunchoutUser,Punchout bruker
WebshopRolesRepairApprover,Reperasjons godkjenner
WebshopRolesAdmin,Administrator
WebshopRolesDealerAdmin,Forhandler Administrator
WebshopRolesDealerUser,Forhandler bruker
WebshopRolesKjedehusetAdmin,Kjedehuset Administrator
WebshopRolesUserWithoutSiteAccess,Bruker uten tilgang til nettstedet
WebshopRolesMPortPunchOut,mPort PunchOut
WebshopRolesAribaPunchOut,Ariba PunchOut
WebshopRolesEhfPunchout,Ehf Punchout
WebshopRolesSecretUser,Secret User
WebshopRolesHidePrices,Hide prices
EmployeePortalDocument,Documents
ManagementPortalViewCustomText,Custom Text
ManagementPortalTransferPrivateSubscription,Transfer Subscription
ManagementPortalReturned,Returned
ManagementPortalPurchased,Purchased
ManagementPortalCompleted,Completed
ManagementPortalSubscriptionOrder,Management Portal Subscription Order
